CLIENT_ID,STAFF_ID,CLIENT_NAME,CLIENT_LOCATION,CLIENT_INDUSTRY
1000,843964091,Toys for Us,"St. Louis, MO, USA",Recreational Products/Toys
1001,648502756,Big Tech Firm,"Houston, TX, USA",Finance: Consumer Services
1002,961076615,Old Horse Pub,"Boston, MA, USA",Restaurant
1003,758990891,Rodger's Neighborhoood Store,"Pittsburgh, PA, USA",Telecommunications Equipment
1004,608285122,Dunder Mifflin Inc.,"Scranton, PA, USA",Office Equipment/Supplies/Services
1005,396809357,FBC,"New York City, NY, USA",Television Services
1006,401810810,Buy More,"Burbank, CA, USA",Consumer Electronics
1007,831035148,Aggies R Us,"College Station, TX, USA",Campus Apparel
1008,611294788,"Pearson, Spectre, Litt","New York City, NY, USA",Attorneys at Law
1009,192720770,Ocean Equipment,"Miami, FL, USA",Industrial Specialties
1010,483229784,Federal Bank of Trust,"Washington D.C., USA",Major Banks
1011,843964091,Indoctrinate Network,"Los Angeles, USA",Television Services
1012,648502756,Protest and Gaggle,"Chicago, IL, USA",Personal Hygeine
1013,961076615,Taco Ring,"Phoenix, AZ, USA",Food Products
1014,758990891,Pizza House,"Memphis, TN, USA",Food Products
1015,316659224,Big Power Company,"Newark, NJ, USA",Electric Utilities: Central
1016,276183243,Psych,"Santa Barbara, CA, USA",Other Pharmaceuticals
1017,996105002,SeeGood,"Portland, OR, USA",Ophthalmic Goods
1018,608285122,Smelly Cow Refinery,"Artesia, NM, USA",Oil and Natural Gas
1019,396809357,Heal Fast,"Houston, TX, USA",Medical Specialities
